"cntry","pplfair","trstplt","trstprt","rlgdgr","happy","edulvlb"
"AT",6.38569604086845,3.77354452054795,3.72396056579511,4.61291702309666,7.78156996587031,1.24356775300172
"BE",6.07658505963591,4.1728081321474,3.94256541161455,4.14528301886792,7.77854454203262,1.64267515923567
"CH",6.43157132512672,5.54082397003745,5.29264594389689,4.48290909090909,8.15434782608696,1.49891225525743
"CY",4.42836257309941,2.68148148148148,2.49704142011834,6.75659824046921,6.96911764705882,1.46917293233083
"DE",6.17700578990902,4.00416493127863,3.97406942701798,3.92259933774834,7.76292925113777,1.43599334995844
"ES",5.57889009793254,2.7840349917988,2.77686403508772,4.10451823625476,7.84799131378936,1.43852013057671
"FI",7.10890454836643,5.31089743589744,5.37435567010309,4.45035233824471,8.07371794871795,1.60538116591928
"FR",6.1287577992059,3.76326297775242,3.36139747995418,4.30826210826211,7.42671194114318,1.46057855927396
"GB",5.91262716935966,2.95810564663024,3.12247397428047,3.41746411483254,7.43470483005367,1.48564447159438
"GR",4.75492341356674,2.68784428938671,2.79037550127598,6.34560699963544,6.7360959651036,1.28130671506352
"HR",5.1233850129199,1.99158031088083,2.0914990266061,5.58016741790084,7.55170199100835,1.30108904548366
"HU",5.0977229601518,4.1008604206501,4.0432069131061,4.30142857142857,7.1032196969697,1.16312056737589
"IE",6.22421524663677,4.27300457549568,4.18865030674847,5.05826693227092,7.68948412698413,1.44095665171898
"IS",7.06183115338882,4.81521739130435,4.6682808716707,4.70952380952381,8.07380952380952,1.71822541966427
"IT",4.57586450247001,3.34514528703047,3.30092264017033,5.39415287072913,6.88681898066784,1.25589581133404
"LT",5.47259259259259,3.49219330855019,3.36515151515152,5.15033161385409,7.4121969140338,1.45521292217327
"NL",6.62706855791962,4.93652694610778,5.06040669856459,3.83343212803794,7.92857142857143,1.6353919239905
"NO",6.87949101796407,5.35789473684211,5.47103085026336,3.17717717717718,7.9498127340824,1.70861423220974
"PL",5.25281690140845,2.86270346779901,2.94519572953737,5.84410112359551,7.60027952480783,1.55710306406685
"PT",5.13992673992674,2.85220588235294,2.81047197640118,5.58577712609971,7.07158509861213,1.38528769118718
"RS",4.68645161290323,2.92794612794613,2.85772357723577,6.23186528497409,7.25144323284156,1.26997422680412
"SE",6.73452768729642,4.89007383100902,5.04265791632486,2.960065199674,7.74714518760196,1.58085808580858
"SI",5.42706645056726,3.21504497138185,3.1957411957412,4.86742118027486,7.78029079159935,1.31532258064516
"SK",4.79637377963738,3.72644801116539,3.75544624033732,6.02333804809052,6.56613016095171,1.28860936408106
